"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"529","Remco Pardoel","win","Glen Brown","UKMMAC 1 - Sudden ImpactNov / 11 / 2001","Submission (Scarf Hold)N/A","2","0:00"
"625","Remco Pardoel","draw","Herman van Tol","Rings Holland - No Guts, No GloryJun / 10 / 2001","DrawN/A","2","5:00"
"725","Remco Pardoel","win","Marc Emmanuel","Rings Holland - Heroes Live ForeverJan / 28 / 2001","Decision (Unanimous)N/A","2","5:00"
"819","Remco Pardoel","loss","Roman Savochka","IAFC - Pankration World Championship 2000 [Day 2]Apr / 29 / 2000","TKO (Submission to Strikes)N/A","1","0:00"
"917","Remco Pardoel","win","John Dixson","AAC 2 - Amsterdam Absolute Championship 2Nov / 27 / 1999","Submission (Headlock)N/A","1","8:15"
"1016","Remco Pardoel","win","Michailis Deligiannakis","WVC 8 - World Vale Tudo Championship 8Jul / 01 / 1999","Submission (Keylock)N/A","1","2:20"
"1115","Remco Pardoel","win","John Dixson","AAC 1 - Amsterdam Absolute Championship 1Oct / 25 / 1998","Submission (Choke)N/A","1","4:16"
"1215","Remco Pardoel","loss","Marco Ruas","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","Submission (Position)John McCarthy","1","12:27"
"1315","Remco Pardoel","win","Ryan Parker","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","Submission (Lapel Choke)John McCarthy","1","3:05"
"1415","Remco Pardoel","NC","Carl Franks","Shooto - Complete Vale Tudo AccessJul / 29 / 1995","No ContestN/A","1","8:00"
"1515","Remco Pardoel","loss","Minoru Suzuki","Pancrase - Road To The Championship 3Jul / 26 / 1994","KO (Knee)N/A","1","7:16"
"1615","Remco Pardoel","win","Vernon White","Pancrase - Road To The Championship 2Jul / 06 / 1994","TKO (Points)N/A","1","14:24"
"1713","Remco Pardoel","loss","Royce Gracie","UFC 2 - No Way OutMar / 11 / 1994","Submission (Lapel Choke)John McCarthy","1","1:31"
