"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"1813","Remco Pardoel","win","Orlando Wiet","UFC 2 - No Way OutMar / 11 / 1994","KO (Elbows)John McCarthy","1","1:29"
"1913","Remco Pardoel","win","Alberto Cerra Leon","UFC 2 - No Way OutMar / 11 / 1994","Submission (Armlock)John McCarthy","1","9:51"
"2102","Scott Baker","win","Jim Axtell","EC 10 - Extreme Challenge 10Oct / 04 / 1997","Submission (Forearm Choke)N/A","1","1:40"
"369","Scott Baker","loss","Jason DeLucia","UFC 2 - No Way OutMar / 11 / 1994","TKO (Submission to Punches)John McCarthy","1","6:41"
"2103","Minoki Ichihara","loss","Royce Gracie","UFC 2 - No Way OutMar / 11 / 1994","Submission (Lapel Choke)John McCarthy","1","5:08"
"2104","Fred Ettish","win","Kyle Fletcher","CFX - Gladiator EvolutionAug / 15 / 2009","TKO (Punches)Daryl Guthmiller","1","3:20"
"370","Fred Ettish","loss","Johnny Rhodes","UFC 2 - No Way OutMar / 11 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","3:07"
"2105","Alberto Cerra Leon","loss","Remco Pardoel","UFC 2 - No Way OutMar / 11 / 1994","Submission (Armlock)John McCarthy","1","9:51"
"2106","Keith Hackney","loss","Marco Ruas","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","Submission (Rear-Naked Choke)John McCarthy","1","2:39"
"377","Keith Hackney","loss","Royce Gracie","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Armbar)John McCarthy","1","5:32"
"445","Keith Hackney","win","Joe Son","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Choke)John McCarthy","1","2:44"
"530","Keith Hackney","win","Emmanuel Yarborough","UFC 3 - The American DreamSep / 09 / 1994","TKO (Punches)John McCarthy","1","1:59"
"2107","Emmanuel Yarborough","loss","Daiju Takase","Pride FC - Pride 3Jun / 24 / 1998","TKO (Submission to Punches)Takumi Adachi","2","3:22"
"378","Emmanuel Yarborough","win","Tatsuaki Nakano","Shooto - Shoot the Shooto XXApr / 26 / 1998","Submission (Smother)N/A","1","1:17"
"446","Emmanuel Yarborough","loss","Keith Hackney","UFC 3 - The American DreamSep / 09 / 1994","TKO (Punches)John McCarthy","1","1:59"
"2108","Christophe Leninger","loss","Edwin Dewees","RITC 26 - Rage in the Cage 26Mar / 24 / 2001","Decision (Unanimous)N/A","3","3:00"
"379","Christophe Leninger","loss","Allan Sullivan","RITC 24 - Rage in the Cage 24Jan / 27 / 2001","DecisionN/A","3","3:00"
"447","Christophe Leninger","loss","Guy Mezger","UFC 13 - The Ultimate ForceMay / 30 / 1997","Decision (Unanimous)John McCarthy","1","15:00"
"533","Christophe Leninger","win","Carlos Garcia","FCSB - Best in the Southwest ChampionshipsJan / 25 / 1997","Submission (Choke)N/A","1","6:00"
"626","Christophe Leninger","win","Marc Zee","FCSB - Best in the Southwest ChampionshipsJan / 25 / 1997","Submission (Armbar)N/A","2","4:55"
"726","Christophe Leninger","win","Kelly English","FCSB - Best in the Southwest ChampionshipsJan / 25 / 1997","Submission (Armbar)N/A","2","1:16"
"820","Christophe Leninger","loss","Ken Shamrock","UFC 3 - The American DreamSep / 09 / 1994","TKO (Submission to Punches)John McCarthy","1","4:49"
"2109","Harold Howard","loss","Hugo Duarte","UVF 3 - Universal Vale Tudo Fighting 3Aug / 14 / 1996","TKO (Submission to Punches)N/A","1","0:29"
"380","Harold Howard","loss","Mark Hall","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","TKO (Submission to Strikes)John McCarthy","1","1:41"
"448","Harold Howard","loss","Steve Jennum","UFC 3 - The American DreamSep / 09 / 1994","TKO (Submission to Punches)John McCarthy","1","1:27"
"534","Harold Howard","win","Roland Payne","UFC 3 - The American DreamSep / 09 / 1994","KO (Punch)John McCarthy","1","0:46"
"2117","Roland Payne","loss","Harold Howard","UFC 3 - The American DreamSep / 09 / 1994","KO (Punch)John McCarthy","1","0:46"
"2118","Kimo Leopoldo","loss","Wes Sims","Extreme Wars 5 - BattlegroundsOct / 06 / 2006","TKO (Punches)N/A","1","3:21"
"386","Kimo Leopoldo","loss","Dave Legeno","Cage Rage 18 - BattlegroundSep / 30 / 2006","Submission (Guillotine Choke)N/A","1","3:21"
"449","Kimo Leopoldo","loss","Ikuhisa Minowa","Pride - Bushido 8Jul / 17 / 2005","Submission (Achilles Lock)N/A","1","3:11"
"535","Kimo Leopoldo","win","Marcus Royster","ROTR 7 - Rumble On The Rock 7May / 07 / 2005","Submission (Forearm Choke)Larry Landless","1","4:18"
"627","Kimo Leopoldo","loss","Ken Shamrock","UFC 48 - PaybackJun / 19 / 2004","KO (Knee)N/A","1","1:26"
"727","Kimo Leopoldo","win","David Abbott","UFC 43 - MeltdownJun / 06 / 2003","Submission (Arm-Triangle Choke)N/A","1","1:59"
"822","Kimo Leopoldo","win","Tim Lajcik","WFA 2 - Level 2Jul / 05 / 2002","TKO (Toe Injury)Cecil Peoples","1","1:55"
"918","Kimo Leopoldo","loss","Tsuyoshi Kosaka","UFC 16 - Battle in the BayouMar / 13 / 1998","Decision (Unanimous)John McCarthy","1","15:00"
"1017","Kimo Leopoldo","draw","Dan Severn","Pride FC - Pride 1Oct / 11 / 1997","Draw (Time Limit)Ryogaku Wada","1","30:00"
"1116","Kimo Leopoldo","win","Brian Johnston","UE - Ultimate ExplosionApr / 16 / 1997","Submission (Forearm Choke)N/A","1","1:43"
"1216","Kimo Leopoldo","win","Paul Varelans","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","TKO (Corner Stoppage)John McCarthy","1","9:08"
"1316","Kimo Leopoldo","win","Scott Bigelow","U - JapanNov / 17 / 1996","Submission (Rear-Naked Choke)N/A","1","2:15"
"1416","Kimo Leopoldo","win","Kazushi Sakuraba","Shoot Boxing - S-Cup 1996Jul / 14 / 1996","Submission (Arm-Triangle Choke)N/A","1","4:20"
"1516","Kimo Leopoldo","loss","Ken Shamrock","UFC 8 - David vs. GoliathFeb / 16 / 1996","Submission (Kneebar)John McCarthy","1","4:24"
"1616","Kimo Leopoldo","win","Patrick Smith","UFCF - United Full Contact Federation 1Sep / 08 / 1995","TKO (Submission to Punches)N/A","1","2:59"
"1714","Kimo Leopoldo","win","Fred Floyd","UFCF - United Full Contact Federation 1Sep / 08 / 1995","Submission (Rear-Naked Choke)N/A","1","0:47"
"1814","Kimo Leopoldo","win","Patrick Smith","K-1 - Legend '94Dec / 10 / 1994","TKO (Submission to Punches)N/A","1","3:00"
"1914","Kimo Leopoldo","loss","Royce Gracie","UFC 3 - The American DreamSep / 09 / 1994","Submission (Armbar)John McCarthy","1","4:40"
"2119","Steve Jennum","loss","Jason Godsey","EC 4 - Extreme Challenge 4Feb / 22 / 1997","Submission (Choke)N/A","1","2:02"
"387","Steve Jennum","loss","Marco Ruas","WVC 1 - World Vale Tudo Championship 1Aug / 14 / 1996","TKO (Submission to Punches)N/A","1","1:44"
"450","Steve Jennum","loss","David Abbott","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","Submission (Neck Crank)John McCarthy","1","1:14"
"536","Steve Jennum","win","Melton Bowen","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Armlock)John McCarthy","1","4:47"
"628","Steve Jennum","win","Harold Howard","UFC 3 - The American DreamSep / 09 / 1994","TKO (Submission to Punches)John McCarthy","1","1:27"
"2120","Felix Mitchell","loss","Theo Brooks","FCC 4 - Freestyle Combat Challenge 4Mar / 31 / 2001","Submission (Neck Crank)N/A","1","2:35"
"388","Felix Mitchell","win","Seth Peters","IC 1 - Iowa Challenge 1Feb / 10 / 2001","TKO (Punches)N/A","1","2:10"
"455","Felix Mitchell","loss","Luiz Claudio Nunes","WVC 6 - World Vale Tudo Championship 6Nov / 01 / 1998","TKO (Cut)N/A","1","3:20"
"537","Felix Mitchell","loss","Travis Fulton","MFC 1 - Midwest Fighting 1Jul / 28 / 1998","KO (Punches)N/A","1","4:25"
"629","Felix Mitchell","win","Clayton Miller","MFC 1 - Midwest Fighting 1Jul / 28 / 1998","TKO (Submission to Punches)N/A","1","1:01"
"728","Felix Mitchell","loss","Robert Lalonde","IFC 5 - Battle in the BayouSep / 05 / 1997","Submission (Ankle Lock)Andy Anderson","1","3:20"
"823","Felix Mitchell","loss","Mark Hall","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","TKO (Punches)N/A","1","1:45"
"919","Felix Mitchell","loss","Sam Adkins","UFC 10 - The TournamentJul / 12 / 1996","Decision (Unanimous)N/A","1","10:00"
"1018","Felix Mitchell","loss","Ken Shamrock","UFC 3 - The American DreamSep / 09 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","4:34"
"2121","Joe Charles","loss","Kengo Watanabe","Pancrase - 2000 Anniversary ShowSep / 24 / 2000","Decision (Unanimous)N/A","1","10:00"
"389","Joe Charles","loss","Marcelo Alves Eneas Dantas","RITC 2 - Marching of the WarriorsOct / 15 / 1999","Submission (Smother Choke)N/A","1","9:40"
"456","Joe Charles","win","Mark Smith","Ready to Rumble - Let's Get Ready to RumbleOct / 13 / 1999","DecisionN/A","0","N/A"
"538","Joe Charles","loss","Stefanos Miltsakakis","WVC 9 - World Vale Tudo Championship 9Sep / 27 / 1999","Submission (Keylock)N/A","1","8:38"
"630","Joe Charles","loss","Mikhail Avetisyan","IAFC - Pankration World Championship 1999May / 01 / 1999","TKO (Submission to Punches)N/A","1","11:21"
"729","Joe Charles","loss","Vitor Belfort","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","Submission (Armbar)John McCarthy","1","4:03"
"824","Joe Charles","loss","Nick Nutter","IAFC - 1st Absolute Fighting World Cup PankrationNov / 12 / 1997","TKO (Submission to Punches)N/A","1","4:34"
"920","Joe Charles","win","Yuri Mildzikhov","IAFC - 1st Absolute Fighting World Cup PankrationNov / 12 / 1997","Submission (Heel Hook)N/A","1","11:02"
"1019","Joe Charles","win","Andrey Surikov","IAFC - Absolute Fighting Championship 2: Day 2May / 02 / 1997","TKO (Submission to Punches)N/A","1","2:14"
"1117","Joe Charles","loss","Karimula Barkalaev","IAFC - Absolute Fighting Championship 2: Day 1Apr / 30 / 1997","Submission (Forearm Choke)N/A","1","9:19"
"1217","Joe Charles","loss","Dan Bobish","WFF - World Fighting FederationFeb / 24 / 1997","Submission (Arm-Triangle Choke)Dave Hale","1","4:42"
"1317","Joe Charles","loss","Pete Williams","SB 2 - SuperBrawl 2Oct / 11 / 1996","Submission (Kneebar)N/A","1","1:39"
"1417","Joe Charles","win","Wes Gassaway","SB 2 - SuperBrawl 2Oct / 11 / 1996","TKO (Submission to Elbows)N/A","1","3:26"
"1517","Joe Charles","loss","Oleg Taktarov","WVC 1 - World Vale Tudo Championship 1Aug / 14 / 1996","Submission (Kneebar)N/A","1","4:42"
"1617","Joe Charles","loss","Murilo Bustamante","UVF - Universal Vale Tudo Fighting 2Jun / 24 / 1996","Submission (Arm-Triangle Choke)N/A","1","3:08"
"1715","Joe Charles","win","Scott Bessac","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","Submission (Armlock)John McCarthy","1","4:38"
"1815","Joe Charles","loss","Carl Franks","UFCF - United Full Contact Federation 2Nov / 09 / 1995","TKO (Submission to Punches)N/A","1","26:42"
"1915","Joe Charles","loss","Dan Severn","UFC 5 - The Return of the BeastApr / 07 / 1995","Submission (Rear-Naked Choke)John McCarthy","1","1:38"
"2011","Joe Charles","win","Kevin Rosier","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Armbar)John McCarthy","1","0:14"
"2122","Oleg Taktarov","win","Mark Kerr","YAMMA - Pit Fighting 1Apr / 11 / 2008","Submission (Kneebar)N/A","1","1:55"
"390","Oleg Taktarov","win","John Marsh","Bodog Fight - USA vs. RussiaNov / 30 / 2007","Submission (Kneebar)N/A","2","0:33"
"457","Oleg Taktarov","win","Aaron Salinas","TK - Total KombatMay / 13 / 2001","Submission (Armbar)N/A","1","1:24"
"539","Oleg Taktarov","win","Moti Horenstein","NF - National FreesparringFeb / 21 / 1998","Submission (Kneebar)N/A","1","3:24"
"632","Oleg Taktarov","win","Mick Tierney","NF - National FreesparringFeb / 21 / 1998","Submission (Kneebar)N/A","1","3:58"
"730","Oleg Taktarov","loss","Gary Goodridge","Pride FC - Pride 1Oct / 11 / 1997","KO (Punch)Ryogaku Wada","1","4:57"
"825","Oleg Taktarov","win","Sean Alvarez","Pentagon Combat - Pentagon CombatSep / 27 / 1997","KO (Punches)N/A","1","0:52"
"921","Oleg Taktarov","win","Chuck Kim","WFF - World Fighting FederationFeb / 24 / 1997","Submission (Guillotine Choke)Dave Hale","1","0:22"
"1020","Oleg Taktarov","loss","Renzo Gracie","MARS - Martial Arts Reality SuperfightingNov / 22 / 1996","KO (Upkick)N/A","1","1:02"
"1118","Oleg Taktarov","draw","Marco Ruas","WVC 2 - World Vale Tudo Championship 2Nov / 10 / 1996","DrawN/A","1","31:12"
"1218","Oleg Taktarov","win","Joe Charles","WVC 1 - World Vale Tudo Championship 1Aug / 14 / 1996","Submission (Kneebar)N/A","1","4:42"
"1318","Oleg Taktarov","loss","Ryushi Yanagisawa","Pancrase - Truth 5May / 16 / 1996","Decision (Points)Hirotoshi Okamoto","1","15:00"
"1418","Oleg Taktarov","loss","Dan Severn","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","DecisionJohn McCarthy","1","30:00"
"1518","Oleg Taktarov","win","Marco Ruas","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","DecisionJohn McCarthy","1","18:00"
"1618","Oleg Taktarov","win","Dave Beneteau","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","Submission (Achilles Hold)John McCarthy","1","1:15"
"1716","Oleg Taktarov","draw","Ken Shamrock","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","DrawJohn McCarthy","1","33:00"
"1816","Oleg Taktarov","win","David Abbott","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Rear-Naked Choke)John McCarthy","1","17:45"
"1916","Oleg Taktarov","win","Anthony Macias","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Guillotine Choke)John McCarthy","1","0:09"
"2012","Oleg Taktarov","win","Dave Beneteau","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Front Choke)John McCarthy","1","0:57"
"2123","Oleg Taktarov","loss","Dan Severn","UFC 5 - The Return of the BeastApr / 07 / 1995","TKO (Cut)John McCarthy","1","4:21"
"2213","Oleg Taktarov","win","Ernie Verdicia","UFC 5 - The Return of the BeastApr / 07 / 1995","Submission (Scarf Hold)John McCarthy","1","2:23"
"2312","Oleg Taktarov","win","Maxim Kuzin","White Dragon - Day ThreeOct / 23 / 1993","Submission (Choke)N/A","1","1:11"
"2412","Oleg Taktarov","win","Artur Almaev","White Dragon - Day TwoOct / 22 / 1993","TKO (Corner Stoppage)N/A","1","4:25"
"2510","Oleg Taktarov","win","Vaskas Hilma","White Dragon - Day TwoOct / 22 / 1993","Submission (Choke)N/A","1","0:24"
"2124","Jason Fairn","loss","Phil Friedman","AFC 2 - AftershockMar / 06 / 2010","Submission (Rear-Naked Choke)Mac Danzig","1","0:38"
"395","Jason Fairn","loss","Tom Montes","NAC 12 - North American Challenge 12Oct / 25 / 2003","Submission (Arm Lock)N/A","1","2:49"
"458","Jason Fairn","loss","Alex Schoenauer","MFC 2 - Rumble at the JungleNov / 24 / 2001","SubmissionN/A","0","N/A"
"540","Jason Fairn","win","Mark Tullius","ES 2 - Extreme Shoot 2Jun / 06 / 1998","Submission (Choke)N/A","1","N/A"
"633","Jason Fairn","loss","Bob Gilstrap","RC - RAW CombatJul / 26 / 1997","TKO (Submission to Knees)N/A","0","7:59"
"732","Jason Fairn","win","Andreas Gautran","WTTU - World Traditional Taekwondo Union ChallengeJan / 18 / 1995","Submission (Choke)N/A","1","2:03"
"826","Jason Fairn","win","Steven Barthom","WTTU - World Traditional Taekwondo Union ChallengeJan / 18 / 1995","Submission (Choke)N/A","1","3:22"
"922","Jason Fairn","loss","Guy Mezger","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","TKO (Corner Stoppage)John McCarthy","1","2:13"
"1021","Jason Fairn","win","Steven Jessler","BB - Bridge BrawlsMar / 08 / 1994","Submission (Guillotine Choke)N/A","1","3:45"
"2125","Ron van Clief","loss","Royce Gracie","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","3:59"
"2126","Joe Son","loss","Jukei Nakajima","Pride FC - The Best, Vol. 2Jul / 20 / 2002","TKO (Shoulder Injury)N/A","1","0:54"
"396","Joe Son","loss","Joe Moreira","XP 2 - Xtreme Pankration 2Apr / 12 / 2002","Submission (Terror)N/A","1","N/A"
"459","Joe Son","loss","Yusuke Imamura","Pride FC - The Best, Vol. 1Feb / 22 / 2002","TKO (Elbow Injury)N/A","1","0:33"
"543","Joe Son","loss","Keith Hackney","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Choke)John McCarthy","1","2:44"
"2127","Melton Bowen","loss","Steve Jennum","UFC 4 - Revenge of the WarriorsDec / 16 / 1994","Submission (Armlock)John McCarthy","1","4:47"
"2128","Dan Severn","win","Alex Rozman","BlueBlood MMA / QCFC - Fight Legends of the Quad CitiesApr / 28 / 2012","Decision (Unanimous)N/A","3","5:00"
"397","Dan Severn","loss","Lee Beane","Paul Vandale Promotions - The Beast Comes EastMay / 20 / 2011","KO (Punches)N/A","1","3:28"
"460","Dan Severn","loss","Ryan Fortin","KOTC - Mile ZeroApr / 29 / 2011","TKO (Punches)N/A","3","4:04"
"544","Dan Severn","win","Aaron Garcia","KOTC - TexasApr / 16 / 2011","Submission (Neck Crank)Birchie Stillwagoner","1","2:18"
"634","Dan Severn","win","Cal Worsham","Gladiator Challenge - Legends Collide 2Feb / 20 / 2011","Decision (Unanimous)N/A","3","5:00"
"733","Dan Severn","win","Scott Fraser","Elite 1 - Tapping OutJan / 29 / 2011","Submission (Arm-Triangle Choke)Roger Doiron","2","4:59"
"827","Dan Severn","win","William Hatch","KOTC - Black OpsDec / 04 / 2010","Submission (Arm-Triangle Choke)N/A","1","4:23"
"923","Dan Severn","win","Tom Benesocky","KOTC - Forty EightNov / 21 / 2010","Submission (Arm-Triangle Choke)Andy Social","1","1:33"
"1022","Dan Severn","win","Chad Olmstead","KOTC - Lock DownJul / 30 / 2010","TKO (Punches)N/A","2","1:27"
"1119","Dan Severn","win","Sam Flood","KOTC - FearlessApr / 24 / 2010","Submission (Front Choke)N/A","1","3:57"
"1219","Dan Severn","win","Buddie Dixon","KOTC - Thunderstruck 2Mar / 18 / 2010","TKO (Punches)N/A","2","2:22"
